article_id,article_title,service,category,knowledge_type,user_need,symptoms,user_description_examples,diagnostic_questions,required_information,probable_cause,resolution_steps,workaround,escalation_criteria,priority_guidance,estimated_resolution_time,agent_response_guidance,keywords,owner_role,review_frequency,status,version
KB-011,Impressora indisponível ou erro de impressão,Impressão,Periféricos,Solução de incidente,"O usuário precisa imprimir documento quando a impressora está offline, com fila travada, atolamento ou sem mapeamento.","Impressora offline, documento preso na fila, atolamento de papel, toner baixo, impressora não aparece ou erro no spooler.",Não consigo imprimir; a impressora está offline; o documento fica na fila; a impressora da sala não funciona.,"Qual é o nome da impressora? Outros usuários conseguem imprimir? Há luz de erro, papel preso ou falta de toner? O erro ocorre em todos os documentos?","Nome da impressora, local, dispositivo do usuário, mensagem de erro, existência de outros afetados e urgência do documento.","Fila de impressão travada, impressora desligada, falha de rede, suprimento esgotado, atolamento ou mapeamento ausente.",Confirmar impressora e local; verificar papel e toner; perguntar se outros usuários imprimem; limpar ou reiniciar fila quando permitido; reinstalar mapeamento; registrar chamado se persistir.,"Usar impressora alternativa autorizada ou enviar documento digitalmente, quando o processo permitir.","Escalar para Suporte de Endpoint, Facilities ou fornecedor quando houver falha física, suprimento ou manutenção.",Baixa para usuário individual; média se impressora compartilhada de área operacional estiver indisponível; alta em processo crítico sem alternativa.,Até 1 dia útil; até 2 dias úteis quando depender de fornecedor ou suprimentos.,Identificar se o problema é individual ou compartilhado. Registrar local e nome da impressora obrigatoriamente.,"impressora, impressão, fila, toner, papel, offline, spooler",Endpoint Support,Semestral,Published,1.0
KB-012,Periférico não funciona,Dispositivo do Usuário,Periféricos,Solução de incidente,"O usuário precisa restaurar o funcionamento de teclado, mouse, monitor, headset, webcam ou outro periférico.","Teclado sem resposta, mouse não move, monitor não detectado, headset sem áudio, webcam indisponível ou conexão USB instável.",Meu teclado não funciona; o monitor não aparece; o mouse parou; o headset está sem som.,"Qual periférico está com problema? Ele é USB, Bluetooth ou sem fio? Você testou outra porta, cabo ou bateria? O periférico funciona em outro computador?","Tipo de periférico, conexão, patrimônio se houver, dispositivo usado, testes realizados e local do usuário.","Cabo desconectado, bateria descarregada, porta USB com falha, driver, pareamento Bluetooth ou defeito físico.",Reconectar periférico; trocar porta USB; verificar bateria; reiniciar computador; testar em outro dispositivo; registrar solicitação de troca ou suporte se persistir.,"Usar periférico reserva, dispositivo integrado do notebook ou estação alternativa enquanto aguarda atendimento.","Escalar para Suporte de Endpoint quando houver defeito físico, necessidade de driver ou substituição de item.",Baixa quando há alternativa; média quando o periférico impede o trabalho do usuário; alta apenas em função crítica sem substituição.,Até 1 dia útil para diagnóstico; substituição depende de estoque.,Oferecer passos simples e seguros. Coletar evidência de teste antes de sugerir substituição.,"teclado, mouse, monitor, headset, webcam, periférico, USB, Bluetooth",Endpoint Support,Semestral,Published,1.0
KB-013,Solicitação de instalação de software,Aplicações e Software,Requisição de Serviço,Procedimento de requisição,O usuário precisa instalar software aprovado ou solicitar avaliação de nova aplicação para uso corporativo.,"Usuário não possui aplicativo necessário, precisa de licença, solicita nova ferramenta ou não consegue instalar por falta de permissão administrativa.",Preciso instalar um programa; preciso de licença; não tenho permissão para instalar; preciso de um software para trabalhar.,Qual software e versão são necessários? Ele já é aprovado pela TI? Existe licença disponível? Há aprovação do gestor? Qual é a justificativa de negócio?,"Nome do software, versão, justificativa, gestor aprovador, patrimônio do equipamento, centro de custo e necessidade de licença.","Usuário sem aplicativo, falta de licença, ausência de pacote homologado, bloqueio por política ou necessidade de aprovação formal.",Verificar catálogo de software aprovado; coletar justificativa; confirmar aprovação; validar licença; registrar requisição de instalação ou avaliação de software.,Usar alternativa corporativa já homologada quando disponível.,Escalar para Gestão de Ativos de Software quando faltar licença ou para Segurança quando a aplicação não for homologada.,Baixa por ser requisição planejada; média quando impacta início de projeto aprovado; alta apenas por exceção operacional justificada.,Até 3 dias úteis para software aprovado; prazo maior para avaliação de nova aplicação.,Não tratar como incidente salvo quando a remoção ou falha de software aprovado interromper serviço existente. Exigir justificativa e aprovação quando necessário.,"software, instalação, licença, aplicativo, programa, homologação, catálogo",Software Asset Management,Semestral,Published,1.0
KB-014,Aplicação corporativa com erro ou travamento,Aplicações de Negócio,Software,Solução de incidente,"O usuário precisa retomar o uso de aplicação corporativa que fecha, trava, apresenta erro ou impede conclusão de tarefa.","Aplicação fecha inesperadamente, tela congela, erro ao salvar, transação falha, relatório não abre ou mensagem técnica aparece.",O sistema está travando; aparece erro no ERP; o aplicativo fecha sozinho; não consigo salvar a operação.,Qual aplicação está afetada? O que você estava fazendo antes do erro? O erro se repete? Outras pessoas também estão afetadas? Há captura de tela?,"Nome da aplicação, mensagem de erro, passos para reproduzir, captura de tela, usuário afetado, quantidade de afetados e criticidade do processo.","Bug de aplicação, cache local, versão desatualizada, erro de configuração, falha de integração ou indisponibilidade parcial do backend.",Coletar evidências; reiniciar aplicação; testar navegador alternativo quando aplicável; limpar cache se autorizado; verificar se outros usuários são afetados; registrar incidente com passos de reprodução.,"Executar processo por aplicação alternativa, navegador diferente ou procedimento manual aprovado, quando existir.","Escalar para Suporte de Aplicações se o erro for reproduzível, afetar múltiplos usuários ou bloquear processo crítico.",Média para usuário individual; alta se processo crítico estiver bloqueado; crítica se aplicação essencial estiver indisponível para muitos usuários.,Até 1 dia útil para triagem; prazo de correção depende da causa técnica.,Coletar passos para reprodução e evidência antes de encaminhar. Prioridade deve considerar processo de negócio e número de usuários afetados.,"aplicação, sistema, erro, travamento, ERP, relatório, transação",Application Support,Trimestral,Published,1.0
KB-015,Atualização do sistema operacional com falha,Dispositivo do Usuário,Software,Erro conhecido,"O usuário precisa concluir ou corrigir uma atualização de sistema operacional que falhou, travou ou causou lentidão.","Atualização parada, erro de instalação, reinicializações repetidas, computador lento após patch ou mensagem de falha no Windows Update.",A atualização travou; o Windows não atualiza; o computador ficou lento depois da atualização; aparece erro de update.,Há código de erro? Há quanto tempo a atualização está em andamento? O equipamento está ligado à energia? O problema começou após qual atualização?,"Patrimônio do equipamento, sistema operacional, código de erro, tempo de execução, estado da energia e impacto no trabalho.","Conflito de patch, falta de espaço em disco, interrupção de energia, pacote corrompido ou incompatibilidade de driver.",Confirmar conexão à energia; aguardar se houver progresso; reiniciar apenas se estiver travado por período prolongado; verificar espaço em disco; registrar chamado de endpoint se erro persistir.,Usar equipamento reserva se o dispositivo estiver indisponível e a atividade for urgente.,"Escalar para Suporte de Endpoint quando exigir reparo do sistema, rollback, reinstalação ou reimagem.",Média quando afeta um usuário; alta se o equipamento ficar inutilizável e não houver alternativa.,Até 1 dia útil para diagnóstico; reimagem pode exigir prazo adicional.,Orientar cuidado para não desligar durante atualização ativa. Registrar código de erro sempre que existir.,"atualização, Windows, patch, lentidão, travou, sistema operacional",Endpoint Support,Trimestral,Published,1.0
KB-016,E-mail suspeito ou phishing,Segurança da Informação,Segurança,Alerta e procedimento,"O usuário precisa reportar mensagem suspeita para evitar fraude, roubo de credenciais ou instalação de malware.","E-mail com link estranho, remetente desconhecido, anexo inesperado, pedido de senha, urgência incomum ou ameaça de bloqueio de conta.",Recebi um e-mail suspeito; acho que é phishing; cliquei em um link estranho; pediram minha senha por e-mail.,Você clicou em algum link? Abriu anexo? Informou senha ou código MFA? Qual é o remetente e o assunto? Quando recebeu a mensagem?,"Remetente, assunto, horário, ação executada pelo usuário, anexo ou link, captura de tela e cópia original da mensagem quando possível.","Campanha de phishing, tentativa de roubo de credenciais, malware em anexo ou fraude por engenharia social.","Orientar não clicar e não responder; solicitar reporte pelo canal oficial; coletar evidências; registrar incidente se houve clique, download ou envio de credenciais; acionar Segurança.",Excluir ou isolar a mensagem somente após orientação da Segurança ou uso do botão oficial de reporte.,"Escalar imediatamente para Segurança se o usuário clicou, abriu anexo, informou credenciais ou aprovou MFA indevido.",Alta para mensagem suspeita com interação; crítica se credenciais foram informadas ou houver possível comprometimento.,Resposta inicial em até 2 horas úteis; imediata em comprometimento suspeito.,"Tratar como segurança. O agente deve orientar contenção e coletar fatos, sem afirmar que o e-mail é seguro sem análise especializada.","phishing, e-mail suspeito, fraude, link, anexo, credenciais, segurança",Security Operations,Mensal,Published,1.0
KB-017,Suspeita de malware ou vírus,Segurança da Informação,Segurança,Incidente de segurança,O usuário precisa reportar comportamento suspeito no dispositivo para contenção e investigação de possível malware.,"Alerta do antivírus, pop-ups incomuns, arquivos desconhecidos, lentidão extrema, navegador redirecionando ou programas abrindo sozinhos.",O antivírus alertou; acho que estou com vírus; aparecem pop-ups; meu computador está estranho depois de baixar um arquivo.,Qual alerta apareceu? Você baixou ou executou algum arquivo? O dispositivo está conectado à rede? Dados sensíveis foram acessados?,"Patrimônio do dispositivo, alerta exibido, arquivo ou site suspeito, horário do evento, conexão de rede e dados potencialmente afetados.","Malware, adware, arquivo malicioso, execução de anexo contaminado ou comprometimento por site inseguro.",Orientar o usuário a parar de usar o dispositivo; não apagar evidências; desconectar da rede se a política permitir; registrar incidente crítico; encaminhar para contenção e análise.,Usar equipamento reserva limpo e alterar senhas a partir de dispositivo confiável somente após orientação de Segurança.,"Escalar imediatamente para Segurança e Suporte de Endpoint para isolamento, análise forense e remediação.","Crítica, pois pode haver propagação, vazamento de dados ou comprometimento de credenciais.",Resposta imediata; restauração completa depende da investigação.,Não tentar resolver apenas com instruções comuns. Criar incidente de segurança e orientar contenção básica conforme política.,"malware, vírus, antivírus, pop-up, infectado, segurança, contenção",Security Operations,Mensal,Published,1.0
KB-018,Login suspeito ou possível comprometimento de conta,Segurança da Informação,Segurança,Incidente de segurança,"O usuário precisa reportar alerta de login desconhecido, solicitação inesperada de MFA ou atividade não reconhecida na conta.","Notificação de login em local desconhecido, solicitação MFA não iniciada pelo usuário, e-mails enviados sem autorização ou alteração de senha não reconhecida.",Recebi MFA sem tentar entrar; apareceu login desconhecido; alguém acessou minha conta; recebi alerta de acesso suspeito.,Você aprovou a solicitação de MFA? Qual local ou dispositivo aparece no alerta? Você reutilizou senha ou clicou em link suspeito recentemente?,"Conta afetada, horário do alerta, localização informada, status da aprovação MFA, eventos recentes e sistemas acessados.","Credenciais comprometidas, tentativa de força bruta, phishing, reutilização de senha ou sessão ativa indevida.",Orientar negar MFA desconhecido; recomendar troca de senha em dispositivo confiável; registrar incidente crítico; solicitar revogação de sessões e revisão de logs pela Segurança.,"Usar somente dispositivo confiável e evitar novos acessos até orientação da Segurança, se houver suspeita forte.","Escalar imediatamente para Segurança quando houver MFA aprovado indevidamente, login desconhecido ou atividade não reconhecida.","Crítica, pois o comprometimento de conta pode permitir acesso não autorizado a sistemas e dados.",Resposta imediata; contenção inicial em até 1 hora útil.,Priorizar contenção e coleta de fatos. Não encerrar automaticamente como falso positivo sem análise de logs.,"login suspeito, conta comprometida, MFA, credenciais, acesso indevido, segurança",Security Operations,Mensal,Published,1.0
KB-019,Solicitação de acesso a pasta compartilhada,Gestão de Acessos,Requisição de Acesso,Procedimento de requisição,"O usuário precisa obter permissão de leitura ou edição em pasta de rede, drive compartilhado ou repositório documental.","Acesso negado, pasta não aparece, usuário não consegue abrir documento ou precisa participar de projeto com diretório compartilhado.",Preciso acessar uma pasta; não tenho permissão no drive; aparece acesso negado; preciso editar arquivos do projeto.,Qual é o caminho da pasta? Você precisa ler ou editar? Quem é o dono da informação? Seu gestor aprovou?,"Caminho da pasta, nível de permissão, justificativa, usuário solicitante, aprovação do gestor e aprovação do dono da informação.","Permissão inexistente, mudança de equipe, participação em projeto, grupo de acesso incorreto ou ausência de aprovação.",Coletar caminho e permissão; identificar dono da informação; solicitar aprovação; registrar requisição; encaminhar para Gestão de Acessos após autorização.,"Solicitar ao dono da informação compartilhamento temporário aprovado, se a política permitir.","Escalar para gestor ou dono da informação quando a aprovação estiver ausente, divergente ou envolver dados sensíveis.",Baixa por ser requisição planejada; média quando bloqueia atividade com prazo próximo e aprovada.,Até 2 dias úteis após aprovação.,Não conceder acesso automaticamente. O agente deve verificar existência de aprovação e registrar a solicitação com os campos obrigatórios.,"pasta, drive, permissão, acesso, compartilhamento, repositório, dono da informação",Access Management,Semestral,Published,1.0
KB-020,Solicitação de perfil ou permissão em sistema,Gestão de Acessos,Requisição de Acesso,Procedimento de requisição,"O usuário precisa de novo perfil, papel ou permissão em aplicação corporativa para executar atividades de trabalho.","Acesso negado em funcionalidade, botão indisponível, perfil insuficiente, usuário novo sem permissões ou mudança de função.",Preciso de acesso ao ERP; falta perfil no sistema; não consigo aprovar pedidos; preciso de permissão de administrador.,Qual sistema é afetado? Qual perfil é necessário? Há aprovação do gestor? O acesso envolve função crítica ou privilegiada?,"Sistema, perfil solicitado, usuário, justificativa, aprovação do gestor, aprovação do dono do sistema e análise de segregação quando aplicável.","Perfil não atribuído, mudança de função, novo usuário, necessidade de privilégio adicional ou erro no grupo de acesso.",Coletar sistema e perfil; confirmar justificativa; obter aprovação; validar restrições de segregação de funções; encaminhar para dono da aplicação ou Gestão de Acessos.,Executar a atividade por usuário autorizado ou processo alternativo aprovado enquanto a permissão é avaliada.,"Escalar para dono da aplicação ou Segurança quando houver acesso privilegiado, conflito de funções ou ausência de aprovação.",Baixa para requisição padrão; média quando bloqueia processo com prazo; alta apenas com justificativa crítica e aprovação.,Até 3 dias úteis após aprovação; mais tempo se exigir análise de risco.,Orientar que a autorização humana é obrigatória. Coletar perfil exato para evitar permissões excessivas.,"perfil, permissão, sistema, ERP, acesso, privilégio, segregação",Access Management,Trimestral,Published,1.0
